FullName,NativeCountry,Gender,Age,MaritalStatus,EconomicStatus,IndustrialGroup,HighestEducationCompleted,FieldOfStudy,County
Sean O'Kelly,Ireland,male,26,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Advanced certificate/completed apprenticeship,Electricity and energy,Dublin City
Thomas Murray,Ireland,male,18,Single,Student or pupil,Human health and social work activities (Q),Lower secondary,Hotel/restaurant and catering,Kildare
Alanna O'Neill,Ireland,female,16,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Child care and youth services,Kerry
Louise Moore,Ireland,female,27,Single,Employee,Education (P),Honours bachelor degree/professional qualification or both,Economics,North Tipperary
Christopher O'Neill,Ireland,male,51,Married (first marriage),Employee,Manufacturing (C),Lower secondary,Hotel/restaurant and catering,Wicklow
Thomas O'Quinn,Ireland,male,54,Married (first marriage),Unable to work due to permanent sickness or disability,Accommodation and food service activities (I),Lower secondary,Accounting and taxation,Kerry
Sara O'Connor,Ireland,female,41,Single,Employee,Human health and social work activities (Q),Lower secondary,Motor vehicles/ships and aircraft,Limerick City
Kate O'Neill,Ireland,female,64,Divorced,Employee,Human health and social work activities (Q),Upper secondary,Design,Mayo
Cillian O'Sullivan,Ireland,male,64,Married (first marriage),Retired,Industry not stated,Higher certificate,Electricity and energy,South Tipperary
Holly Murray,Ireland,female,28,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Biology and biochemistry,Kildare
Rebecca O'Sullivan,Ireland,female,35,Married (first marriage),Employee,Human health and social work activities (Q),Lower secondary,Hotel/restaurant and catering,Cork County
Ava Murphy,Ireland,female,22,Single,Unemployed having lost or given up previous job,Human health and social work activities (Q),Postgraduate diploma or degree,Other social sciences/business and law subjects,Fingal
Kate O'Brien,Ireland,female,17,Single,Student or pupil,Education (P),Lower secondary,Hair and beauty services,Kerry
Margret Groth,Germany,female,28,Single,Unemployed having lost or given up previous job,Human health and social work activities (Q),Upper secondary,Business and administration (broad programmes),Cork County
Matthew Pascual,Philippines,male,51,Separated (including deserted),Looking after home/family,Real estate activities (L),Lower secondary,Psychology,Cavan
Julia O'Brien,Ireland,female,33,Married (first marriage),Looking after home/family,Public administration and defence; compulsory social security (O),Advanced certificate/completed apprenticeship,Marketing and advertising,Cavan
Eva O'Sullivan,Ireland,female,75,Married (first marriage),Retired,Industry not stated,Lower secondary,Other social sciences/business and law subjects,Dun Laoghaire-Rathdown
Matthew Lynch,Ireland,male,41,Single,Employer or own account worker,Electricity/gas/steam and air conditioning supply (D),Lower secondary,Other engineering/manufacturing and construction,Meath
Tyler O'Brien,Ireland,male,39,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Postgraduate diploma or degree,Physical sciences (physics/chemistry/earth science),Meath
Aoibheann Murray,Ireland,female,50,Married (first marriage),Employer or own account worker,Manufacturing (C),Primary,Other health and welfare,Monaghan
Jamie O'Brien,Ireland,male,31,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Computer use,Dublin City
Charlotte Doherty,Ireland,female,56,Single,Unemployed having lost or given up previous job,Education (P),Primary,Nursing and caring,Roscommon
Corinne Garcia,France,female,68,Married (first marriage),Unable to work due to permanent sickness or disability,Human health and social work activities (Q),Postgraduate diploma or degree,Other social sciences/business and law subjects,Louth
Finn O'Sullivan,Ireland,male,29,Single,Employee,Agriculture/forestry and fishing (A),Upper secondary,Other agriculture and veterinary,Dun Laoghaire-Rathdown
Megan O'Neill,Ireland,female,38,Single,Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Child care and youth services,Cork County
Daniel McCarthy,Ireland,male,59,Married (first marriage),Employer or own account worker,Agriculture/forestry and fishing (A),Upper secondary,Business and administration (broad programmes),Dun Laoghaire-Rathdown
Johnny Bryant,United States of America,male,47,Married (first marriage),Employee,Manufacturing (C),Primary,Music and performing arts,Cork City
Rebecca O'Ryan,Ireland,female,34,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Honours bachelor degree/professional qualification or both,Other social sciences/business and law subjects,Galway City
Leon O'Neill,Ireland,male,78,Widowed,Retired,Industry not stated,Upper secondary,Economics,Dublin City
Ruby Moore,Ireland,female,78,Married (first marriage),Retired,Industry not stated,Upper secondary,Crop and livestock production,Kerry
Tomasz Babka,Poland,male,31,Single,Unemployed having lost or given up previous job,Accommodation and food service activities (I),Postgraduate diploma or degree,Computer science,Cork County
Caoimhe McCarthy,Ireland,female,16,Single,Student or pupil,Human health and social work activities (Q),Upper secondary,Secretarial and office work,Kildare
Ben Murphy,Ireland,male,35,Married (first marriage),Unemployed having lost or given up previous job,Public administration and defence; compulsory social security (O),Technical/vocational,Psychology,Donegal
Maeve O'Reilly,Ireland,female,77,Married (first marriage),Retired,Industry not stated,Primary,Social work and counselling,Mayo
Luke Murphy,Ireland,male,21,Single,Student or pupil,Construction (F),Honours bachelor degree/professional qualification or both,Computer use,Cavan
Eoin O'Neill,Ireland,male,31,Single,Employee,Public administration and defence; compulsory social security (O),Upper secondary,Physical sciences (physics/chemistry/earth science),Offaly
Sean O'Sullivan,Ireland,male,30,Single,Unemployed having lost or given up previous job,Human health and social work activities (Q),Higher certificate,Mechanics and metalwork,South Tipperary
Emma O'Moore,Ireland,female,64,Single,Retired,Industry not stated,Upper secondary,Computer use,Meath
Abigail O'Brien,Ireland,female,39,Married (first marriage),Employee,Human health and social work activities (Q),Primary,Physical sciences (physics/chemistry/earth science),Meath
Tristan O'Sullivan,Ireland,male,43,Single,Looking after home/family,Manufacturing (C),Technical/vocational,Foreign languages,North Tipperary
Elena Gomez,Spain,female,20,Single,Unemployed looking for first regular job,Manufacturing (C),Upper secondary,Business and administration (broad programmes),Wexford
Connor O'Brien,Ireland,male,50,Married (first marriage),Employee,Manufacturing (C),Primary,Other engineering/manufacturing and construction,Meath
Olivia O'Neill,Ireland,female,26,Single,Unemployed looking for first regular job,Manufacturing (C),Honours bachelor degree/professional qualification or both,Business and administration (broad programmes),Dublin City
Jennifer O'Sullivan,Ireland,female,47,Single,Employee,Financial and insurance activities (K),Advanced certificate/completed apprenticeship,Business and administration (broad programmes),Wexford
Tyler O'Brien,Ireland,male,21,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Mother tongue,South Tipperary
Sophie Moore,Ireland,female,29,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Other humanities,Clare
Michael McCarthy,Ireland,male,84,Widowed,Looking after home/family,Information and communication (J),Lower secondary,Design,Wicklow
Leo O'Neill,Ireland,male,47,Separated (including deserted),Employee,Manufacturing (C),Honours bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,South Dublin
James Hood,United States of America,male,41,Married (first marriage),Unemployed having lost or given up previous job,Manufacturing (C),Technical/vocational,History and archaeology,Kerry
Connor Byrne,Ireland,male,38,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Higher certificate,Electricity and energy,Dublin City
Szymon Kelly,Ireland,male,46,Married (first marriage),Employee,Manufacturing (C),Postgraduate diploma or degree,Computer use,Fingal
Orla Kennedy,Ireland,female,68,Single,Retired,Industry not stated,Technical/vocational,Mother tongue,Wicklow
Ellie O'Sullivan,Ireland,female,35,Single,Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Accounting and taxation,Mayo
Ryan McCarthy,Ireland,male,66,Single,Retired,Industry not stated,Upper secondary,Marketing and advertising,Louth
Conor Murphy,Ireland,male,63,Married (first marriage),Looking after home/family,Agriculture/forestry and fishing (A),Primary,Engineering and engineering trades (broad programmes),Kerry
Ryan O'Sullivan,Ireland,male,70,Married (first marriage),Retired,Industry not stated,Upper secondary,Education and teacher training,Donegal
Jessica Walsh,Ireland,female,49,Married (first marriage),Employee,Other service activities (S),Lower secondary,Education and teacher training,Cork County
Noah O'Sullivan,Ireland,male,66,Married (first marriage),Retired,Industry not stated,Lower secondary,Foreign languages,Cork County
Rebecca O'Neill,Ireland,female,24,Single,Student or pupil,Public administration and defence; compulsory social security (O),Lower secondary,Ground transportation,Clare
Kristina Fernandez,Philippines,female,38,Married (first marriage),Employee,Other service activities (S),Lower secondary,Law,Meath
Alex O'Sullivan,Ireland,male,69,Single,Retired,Industry not stated,Honours bachelor degree/professional qualification or both,Motor vehicles/ships and aircraft,Monaghan
