FullName,NativeCountry,Gender,Age,MaritalStatus,EconomicStatus,IndustrialGroup,HighestEducationCompleted,FieldOfStudy,County
Dylan O'Brien,Ireland,male,78,Married (first marriage),Employer or own account worker,Construction (F),Primary,Other health and welfare,Cork County
Emma Moore,Ireland,female,50,Separated (including deserted),Unable to work due to permanent sickness or disability,Education (P),Upper secondary,Accounting and taxation,Dublin City
Jenny Meijer,Netherlands,female,39,Married (first marriage),Student or pupil,Accommodation and food service activities (I),Advanced certificate/completed apprenticeship,Business and administration (broad programmes),Kildare
Michael Murphy,Ireland,male,27,Single,Employee,Professional/scientific and technical activities (M),Postgraduate diploma or degree,Secretarial and office work,Fingal
Chloe O'Brien,Ireland,female,62,Single,Employee,Accommodation and food service activities (I),Upper secondary,Accounting and taxation,Cork County
Ellie O'Brien,Ireland,female,46,Single,Employee,Education (P),Lower secondary,Nursing and caring,Mayo
Nathan O'Brien,Ireland,male,53,Married (first marriage),Unable to work due to permanent sickness or disability,Electricity/gas/steam and air conditioning supply (D),Honours bachelor degree/professional qualification or both,Mechanics and metalwork,Cork County
Jack Murphy,Ireland,male,60,Married (first marriage),Employee,Information and communication (J),Advanced certificate/completed apprenticeship,Mechanics and metalwork,Westmeath
Eve McCarthy,Ireland,female,61,Married (first marriage),Employee,Professional/scientific and technical activities (M),Lower secondary,Design,South Dublin
Daniel O'Neill,Ireland,male,29,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Advanced certificate/completed apprenticeship,Other social sciences/business and law subjects,Louth
Sean O'Reilly,Ireland,male,38,Married (first marriage),Looking after home/family,Mining and quarrying (B),Advanced certificate/completed apprenticeship,Mother tongue,Cork County
Shauna O'Brien,Ireland,female,30,Single,Employee,Manufacturing (C),Lower secondary,Law,Wexford
Adam Ryan,Ireland,male,77,Married (first marriage),Retired,Industry not stated,Primary,Other arts,Dublin City
Ava O'Sullivan,Ireland,female,17,Single,Student or pupil,Administrative and support service activities (N),Upper secondary,Other social sciences/business and law subjects,South Dublin
Aaron Quinn,Ireland,male,31,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Mechanics and metalwork,Galway City
Julia O'Connor,Ireland,female,40,Married (first marriage),Unemployed having lost or given up previous job,Professional/scientific and technical activities (M),Honours bachelor degree/professional qualification or both,Mother tongue,Fingal
Oisin Ryan,Ireland,male,54,Single,Unemployed having lost or given up previous job,Manufacturing (C),Upper secondary,Other engineering/manufacturing and construction,North Tipperary
Aoife Murphy,Ireland,female,22,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Secretarial and office work,Dublin City
Maja Murphy,Ireland,female,33,Single,Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Nursing and caring,Fingal
Kayla O'Gallagher,Ireland,female,16,Single,Student or pupil,Agriculture/forestry and fishing (A),Upper secondary,Education and teacher training,Kerry
